,Category_ID,Title,Description,Address,Coordinates,Status_value,Status_label,Url
592,49,"B.-dul 1 Decembrie 1918, Nr.105, 107, Târgu Mureș, judetul: Mures",In dreptul celor doua imobile cu ocazia reasfaltarii drumului a fost desfinta canalul din fata celor doua imobile. Din aceasta cauza de fiecare data cind ploua apa baltaste in fata imobilelor iar masinile care trec stropesc in mod repetat atit trecatorii din zona cit si cit si cele doua imobile producind pagube deja vizibile.,"Romania, Mures, Târgu Mureș, B.-dul 1 Decembrie 1918, Nr.105, 107","46.538781, 24.571079899999972",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/b-dul-1-decembrie-1918-nr-105-107-targu-mures-mures/
593,57,"str. Pandurilor 75/13, Târgu Mureș, judetul: Mures","Pe Gheorghe Doja, mai mult sau mai puțin în dreptul pensiunii Passion, pe partea dreaptă cum mergi spre Mureșeni, ar trebui interzisă parcarea unor 2 sau 3 mașini care ies efectiv cu fundul pe banda de circulație, înainte de a se vira înspre dreapta, înspre gara CFR! Am văzut de nenumărate ori cum se evită în ultimul moment accidentele când se încearcă în ultimul moment schimbarea benzii! Nu e normal să nu fie liberă prima bandă, doar pt ca una sau două mașini să aibă loc de parcare!!","Romania, Mures, Târgu Mureș, str. Pandurilor 75/13","46.5334239, 24.573635999999965",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/str-pandurilor-7513-targu-mures-mures/
594,44,"Strada Viile Dealului Mic, Târgu Mureș 540417, judetul: Mures","Aceasta strada nu are trotuar, limitarea de viteza este pe un stalp ascuns dupa un alt stalp (30km/ora) ca urmare nu se vede. Drumul e plin cu gropi datorita limitarii de tonaj prea mare (12,5 to schimbat din 3,5 to nu am observat cand si de cine). Astfel viteza mare a masinilor, drumul ingust si de proasta calitate, face dificila, sau chear periculoasa circulatia pe jos, pe strada locuind multe familii cu copii mici.","Romania, Mures, Târgu Mureș 540417, Strada Viile Dealului Mic","46.52568207380455, 24.56439971923828",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-viile-dealului-mic-targu-mures-540417-mures-2/
595,57,"Bulevardul Pandurilor 88, Târgu Mureș, judetul: Mures","Buna ziua lucrarile de schimbare a conductelor de apa au ramas neterminate, si zona lasata murdara. Nu se mai lucreaza de 3 saptamani si cred ca asa o sa prindem si iarna, cu noroi si mizerie pe care o ducem in casa. Multumesc","Romania, Mures, Târgu Mureș, Bulevardul Pandurilor 88","46.53267952613071, 24.580020904541016",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/bulevardul-pandurilor-88-targu-mures-mures/
596,56,"8 martie, Târgu Mureș, judetul: Mures",În toate strada 8martie e un drum de catastrofa.în secolul asta se va rezolva și drumul asta ca și noi plătim impozitele ca și alti,"Romania, Mures, Târgu Mureș, 8 martie","46.5127345, 24.52568240000005",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/8-martie-targu-mures-mures-2/
597,57,"Gheorghe Doja 262, Târgu Mureș, judetul: Mures","Intersectia Gh. Doja cu 8 Martie respectiv Recoltei: propun semafor sau sens giratoriu (cumpararea de catre primarie sau prefectura a casei de pe colt (roi de hoti), se stie care.","Romania, Mures, Târgu Mureș, Gheorghe Doja 262","46.5111637, 24.50999569999999",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/gheorghe-doja-262-targu-mures-mures/
598,49,"Strada Victor Babeș, Târgu Mureș, judetul: Mures","De 10 ani, de când ne-am mutat pe Aleea Cornişa, nu s-a întâmplat practic mai nimic. Zona din spatele fostei cantine ""La Angela"" arată deplorabil. Tomberoanele de gunoi şi gunoiul propriu zis se depozitează în mijlocul străzii, spaţiul verde de lângă stradă este folosit ca şi loc de depozitare pentru moloz, mobilă stricată, geamuri, etc. Zona este un focar de infecție, în ciuda faptului că este practic la 50 m distanţă de un parc de joacă (în ultimii ani un cuib al boschetarilor) şi de un mini teren de fotbal. Totul este o paragină. Păcat pentru că zona ar avea un potenţial uriaş.","Romania, Mures, Târgu Mureș, Strada Victor Babeș","46.554367375174564, 24.572982788085938",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-victor-babes-targu-mures-mures/
599,57,"BULEVARDUL 1 DECEMBRIE 1918 207/32, Târgu Mureș 547176, judetul: Mures","nu exista deloc iluminat public pe strada Budapesta , strada construita in intregime in 2010","Romania, Mures, Târgu Mureș 547176, BULEVARDUL 1 DECEMBRIE 1918 207/32","46.536609, 24.582314999999994",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/bulevardul-1-decembrie-1918-20732-targu-mures-547176-mures/
600,56,"B-dul 1848 20, Târgu Mureș, judetul: Mures","Trecerea de pietoni din fata blocului 20 (b-dul 1848) este foarte periculoasa, fiind in curba nici in adult nu vede daca vine masina, sa nu vorbim de un copil Trebuie sa fii in mujlocul strazii ptr o vizibilitate minima. Propun mutarea ei.","Romania, Mures, Târgu Mureș, B-dul 1848 20","46.533366, 24.5591412",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/b-dul-1848-20-targu-mures-mures/
601,57,"Strada Apaductului 14 16, Târgu Mureș, judetul: Mures",Foarte prost este rezolvat cu iluminatul pe strada Inte nr 12 :14 :16 si 18 nu este deloc bec Dar la inceputul strazi la fiecare casa e pus bec de iluminat,"Romania, Mures, Târgu Mureș, Strada Apaductului 14 16","46.560373, 24.55037500000003",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-apaductului-14-16-targu-mures-mures/
